source,target
RFC 1005,RFC 1700
RFC 1043,RFC 1700
RFC 3692,RFC 5226
RFC 4216,RFC 5152
ITU J.190,ITU K.74
ITU K.25,ITU K.11
ISO 13870,ISO 13873
ISO 11179-6,ISO 11179-3
ISO 22536,ISO 917
ITU Q.2965.2,ITU H.248.1
ITU G.854.10,ITU G.852.2
ITU G.987.3,ITU G.987.2
ITU G.8273.2,ITU G.8271
ISO 9000,ITU G.1000
RFC 2481,RFC 2914
ISO 15944-5,ISO 0
RFC 2283,RFC 2547
RFC 2893,RFC 3513
ITU G.958,ITU G.983.1
RFC 3386,RFC 3564
RFC 2005,RFC 2215
ITU V.110,ITU H.248.1
RFC 3443,RFC 4216
RFC 3303,RFC 3323
ITU G.829,ITU G.806
ITU G.173,ITU P.10
RFC 3357,ITU Y.1541
RFC 4201,ITU G.8081
ITU T.61,ITU X.208
ITU V.17,ITU T.30
ITU T.44,ITU T.4
ISO 917,ISO 22536
ITU P.831,ITU G.168
RFC 2898,ITU J.192
RFC 2983,RFC 3246
ITU J.366.4,ITU J.360
ITU J.260,ITU Y.1271
RFC 945,RFC 985
ITU E.737,ITU E.360.1
ISO 15506,ISO 15431
RFC 3447,ITU X.509
ITU G.975,ITU G.977
ISO 15056,ITU Q.931
RFC 1078,RFC 6335
RFC 2732,ISO 19757-2
RFC 4674,RFC 5088
ITU I.211,ITU M.1400
RFC 729,RFC 732
ISO 14771,ITU X.902
ISO 8859-5,RFC 2068
ITU G.8081,ITU G.8080
ITU G.8601,ITU G.709
RFC 3325,ITU J.366.4
ITU M.1402,ITU M.3020
RFC 1287,RFC 1385
ITU H.248.6,ITU Q.1930
RFC 4422,RFC 5226
RFC 728,RFC 732
RFC 2276,RFC 3404
RFC 1887,RFC 1884
RFC 2183,RFC 3261
ITU M.21,ITU M.20
RFC 2101,RFC 2663
ITU G.852.12,ITU G.852.2
ITU J.183,ITU H.770
RFC 3758,RFC 5472
ISO 9646-5,ITU X.290
RFC 4013,RFC 4279
RFC 940,RFC 950
RFC 984,RFC 1340
RFC 1293,RFC 1700
ITU V.152,ITU H.248.1
RFC 1992,ITU E.360.1
ISO 13522,ITU H.222.0
ITU L.50,ITU L.68
RFC 1864,RFC 2616
RFC 5586,ITU G.7712
RFC 2777,RFC 3777
RFC 1220,RFC 1340
ITU G.854.3,ITU G.852.2
ISO 9171-2,ISO 13549
RFC 3809,RFC 4026
ITU G.9701,ITU G.994.1
ITU I.731,ITU I.371
RFC 4258,RFC 5654
RFC 2504,RFC 2828
ITU M.2301,ITU H.248.48
RFC 2571,ITU G.988
ITU J.360,ITU J.190
ITU J.203,ITU J.700
ISO 9646-4,ITU X.290
ITU Y.2213,ITU Y.2201
ITU Q.543,ITU Q.764
RFC 5905,ITU H.222.0
ITU V.26,ITU H.248.1
ITU I.231,ISO 11574
RFC 2573,RFC 2570
RFC 5920,ITU G.7712
ITU X.147,ITU X.144
ITU Y.1291,ITU Y.2012
RFC 3247,RFC 3246
ITU G.975.1,ITU G.696.1
RFC 813,RFC 4960
ISO 10,ITU X.283
RFC 1180,RFC 4614
ITU H.501,ITU H.225.0
RFC 4585,RFC 5117
RFC 4203,RFC 4202
ISO 13842,ISO 2006
ISO 14496-3,ITU H.245
RFC 1054,RFC 1340
ITU Q.1970,ITU Q.1990
ITU E.154,ITU E.169.3
RFC 5117,ITU H.248.48
ITU I.432.4,ITU I.610
RFC 1901,RFC 3410
ITU V.76,ITU H.248.1
RFC 4427,RFC 5654
RFC 4510,ITU X.501
RFC 2374,RFC 2373
ITU E.171,ITU M.1400
ITU J.192,ITU J.126
ISO 8802-1,ISO 8473
ITU X.3,ITU V.42
RFC 243,RFC 290
RFC 290,RFC 1000
RFC 33,RFC 1000
RFC 798,RFC 1000
RFC 3309,RFC 4960
ITU K.74,ITU K.92
ITU P.81,ITU G.191
RFC 1158,RFC 1212
ITU Q.1224,ITU Q.1711
RFC 4861,ITU G.988
RFC 4347,RFC 5764
RFC 1038,RFC 1812
ITU K.68,ITU K.57
ITU Y.2233,ITU Y.2012
ITU G.721,ITU Q.931
RFC 2411,ITU H.248.1
RFC 3492,ITU X.509
ITU Y.3011,ITU Y.3510
ITU F.790,ITU Y.2201
RFC 4941,RFC 4862
ISO 19501,ISO 11179-3
RFC 3040,RFC 3234
ITU X.738,ITU X.701
RFC 3414,RFC 3410
ITU G.7713,ITU G.8081
ITU X.134,ITU I.353
RFC 1701,RFC 2746
RFC 4733,ITU H.248.1
RFC 3038,RFC 3035
ITU J.126,ITU J.170
RFC 5628,ITU J.366.4
ITU X.294,ITU X.290
ITU H.248.37,ITU H.248.43
RFC 3556,ITU H.248.1
ITU Q.715,ITU Q.730
RFC 2189,RFC 2201
ITU I.412,ITU Q.931
ITU G.1030,ITU E.800
RFC 4448,RFC 4447
RFC 2868,ITU Y.2012
ITU P.1301,ITU P.800.1
RFC 4288,RFC 5226
ISO 10118-3,ITU H.225.0
RFC 1509,RFC 1964
RFC 3007,RFC 3756
ITU X.273,ISO 8208
ITU G.8110.1,ITU G.8261
ITU Y.1312,ITU G.8080
RFC 1485,RFC 1700
ITU J.366.2,ITU J.366.5
ITU BT.500,ITU P.800.1
RFC 1460,RFC 1939
ITU J.205,ITU J.201
ITU F.400,ISO 9834
RFC 2712,RFC 4279
RFC 2560,RFC 5280
RFC 2209,RFC 3520
ISO 4869-1,ITU P.58
ISO 15944-1,ISO 11179-3
ITU E.451,ITU T.5
RFC 3931,RFC 4448
ITU M.2130,ITU M.1400
ISO 15938,ITU H.222.0
RFC 2429,ITU H.225.0
RFC 3840,ITU J.366.4
ITU E.180,ITU H.248.1
RFC 3972,RFC 4862
ISO 13818-6,ITU H.245
ISO 14496-2,ITU H.245
RFC 1631,RFC 3022
ISO 9999,ITU E.135
RFC 2207,RFC 2746
RFC 5921,ITU G.8110.1
RFC 3204,RFC 3261
RFC 937,RFC 1340
ITU H.235.1,ITU H.323
RFC 2993,RFC 3234
ITU G.853.3,ITU G.852.2
RFC 4205,RFC 4202
RFC 2508,RFC 3095
ITU X.293,ITU X.290
ITU G.962,ITU G.902
ISO 233,ISO 10646
ISO 14750,ITU Z.110
RFC 2451,ITU Y.2701
ITU G.747,ITU G.703
ITU I.751,ITU I.610
ITU X.137,ITU Y.1540
RFC 4443,ITU G.7712
RFC 3520,ITU Y.2111
RFC 1808,RFC 2616
RFC 5101,RFC 5102
RFC 5102,RFC 6390
ITU G.99,ITU G.997.1
RFC 1294,RFC 1483
ITU Q.1742.4,ITU Y.2201
ITU X.2963,ITU X.290
ITU X.910,ITU X.902
ITU G.854.6,ITU G.852.2
ITU X.124,ITU X.121
ITU T.411,ITU T.435
RFC 3269,RFC 3452
ITU X.225,ITU X.217
ITU F.551,ITU T.4
ITU H.248.57,ITU H.248.43
RFC 1063,RFC 1191
ITU G.853.6,ITU G.852.2
RFC 3260,RFC 3564
RFC 4366,RFC 5226
RFC 3668,ITU J.162
RFC 2765,RFC 3484
ITU F.703,ITU H.324
ITU Y.1001,ITU Y.1241
ITU E.723,ITU E.771
ITU T.62,ITU Q.931
ITU Q.750,ITU M.3200
ISO 10732,ISO 8208
ITU G.764,ITU G.114
ITU X.694,ITU X.693
RFC 2648,RFC 3680
ITU X.410,ITU X.217
ISO 950,ISO 16824
ITU X.610,ISO 8208
ITU Q.3300,ITU Q.3306.1
RFC 2412,ITU Y.2111
RFC 4005,RFC 5226
RFC 4213,RFC 4294
RFC 1577,RFC 2684
RFC 3489,ITU Y.2701
RFC 1939,RFC 4347
ISO 8859-9,RFC 2068
ITU Q.2961.5,ITU Q.2764
ITU H.450,ITU H.323
RFC 5890,ITU X.509
ISO 13244,ITU M.3010
ISO 1087,ISO 11179-3
RFC 892,RFC 905
RFC 1508,ITU T.123
ISO 8825-7,ITU Z.104
ITU BT.601-5,ITU P.911
ITU E.492,ITU E.502
ITU E.801,ITU E.800
RFC 3715,ITU Y.2701
RFC 918,RFC 937
RFC 4879,RFC 5741
RFC 5742,RFC 5741
ITU P.11,ITU G.191
ITU Y.3520,ITU Y.1271
ITU M.3016.0,ITU Y.2701
ITU Q.1950,ITU Q.1902.1
ITU Y.1413,ITU H.245
ITU G.9962,ITU G.9961
ITU G.998.1,ITU E.800
ITU P.311,ITU P.10
RFC 4026,RFC 4448
ITU Y.3001,ITU Y.3011
ITU P.806,ITU P.1301
ITU I.370,ITU Q.922
ITU T.134,ITU H.324
ISO 9036,ISO 10646
RFC 3678,RFC 4038
RFC 4426,RFC 4427
RFC 3725,ITU J.365
ITU G.973.1,ITU G.654
ITU BT.601-4,ITU P.910
ITU P.930,ITU P.910
RFC 3812,RFC 3916
RFC 2582,RFC 2914
ITU E.173,ITU E.166
ITU Q.542,ITU Q.764
ITU V.56,ITU G.996.1
ITU Y.2000,ITU Y.2012
ITU Z.141,ITU Z.140
RFC 2572,RFC 2570
RFC 2427,RFC 2684
ITU G.772,ITU O.172
ITU G.802,ITU G.707
RFC 2607,RFC 3588
RFC 2253,RFC 4120
RFC 3275,RFC 4050
ITU I.371.1,ITU Y.1241
ISO 7480,ITU V.28
ISO 9543,ITU V.28
RFC 3633,RFC 4192
ITU M.817,ITU M.3200
ISO 10164-7,ITU X.701
RFC 1163,RFC 1164
ITU G.7715,ITU G.8081
ITU Y.130,ITU Y.2011
RFC 4474,ITU J.366.4
RFC 1449,RFC 1448
RFC 1736,RFC 2276
ITU BT.814-1,ITU P.910
RFC 1333,RFC 1812
ITU Q.1742.5,ITU Y.2021
RFC 3856,ITU J.366.4
RFC 2784,ITU G.7712
RFC 1113,RFC 1341
ITU Q.769.1,ITU Q.761
ISO 10021-1,ISO 9834
ISO 19757-2,ISO 0
ITU M.710,ITU M.20
ITU Q.775,ITU Q.730
RFC 3667,RFC 3668
ITU X.530,ITU X.500
RFC 2915,RFC 3588
ITU X.736,ITU X.701
RFC 3175,ITU J.179
ISO 8859-7,RFC 2068
ITU G.871,ITU G.959.1
RFC 683,RFC 790
RFC 783,RFC 790
RFC 2256,ITU X.521
ITU H.248.28,ITU H.248.46
ITU G.108.2,ITU G.131
ITU G.8011.2,ITU G.8032
ISO 11172-2,ITU H.245
RFC 5152,RFC 5150
RFC 3388,ITU V.152
ISO 1004,ISO 10646
ISO 10754,ISO 10646
ISO 11548-1,ISO 10646
ISO 15919,ISO 10646
ISO 2033,ISO 10646
ISO 5426,ISO 10646
ISO 5427,ISO 10646
ISO 6438,ISO 10646
ISO 6861,ISO 10646
ISO 6862,ISO 10646
ISO 7000-0790,ISO 10646
ISO 8957,ISO 10646
ISO 9995-3,ISO 10646
ISO 9995-7,ISO 10646
ITU T.415,ITU T.435
RFC 2252,RFC 2256
RFC 1952,RFC 2616
RFC 4193,RFC 4941
RFC 3060,ITU H.248.43
RFC 354,RFC 683
ITU Q.118,ITU Q.764
ITU P.880,ITU P.1301
ITU Q.1741.2,ITU Y.2201
ITU G.854.12,ITU G.852.2
ITU Q.3301.1,ITU Q.3300
ITU Q.2660,ITU I.371
ITU H.246,ITU H.248.1
ISO 8613-7,ITU T.435
RFC 2553,RFC 3484
RFC 5766,RFC 3588
RFC 2251,RFC 2252
RFC 3464,RFC 3463
RFC 3605,RFC 4787
ITU E.155,ITU E.169.2
ITU H.321,ITU H.323
ITU G.9954,ITU G.993.2
RFC 1028,RFC 1700
ITU E.174,ITU E.168
ITU Q.2150.1,ITU Q.1902.1
RFC 2806,RFC 3261
ITU E.177,ITU E.360.1
RFC 2507,RFC 2508
RFC 4055,ITU X.509
RFC 3526,ITU Y.2701
RFC 2076,RFC 3261
ITU Q.1902.5,ITU Q.1902.1
ITU H.812.2,ITU H.810
ITU J.181,ITU J.700
RFC 2486,ITU Y.2201
ISO 10918-2,ITU T.84
RFC 2313,RFC 3279
RFC 3766,RFC 4251
RFC 2574,RFC 2570
RFC 3420,RFC 3515
ITU D.150,ITU D.140
ITU D.155,ITU D.140
RFC 1760,RFC 2222
ISO 14662,ISO 15944-1
RFC 1548,ITU Q.931
RFC 2186,RFC 3040
ITU V.80,ITU V.70
RFC 3436,RFC 3588
ITU I.352,ITU E.721
ISO 8825-5,ITU X.693
RFC 955,RFC 966
ITU G.8113.1,ITU G.8013
RFC 4380,RFC 4787
ITU X.1252,ITU X.509
ITU Q.123,ITU Z.162
ITU P.1401,ITU P.913
ITU Q.2723.2,ITU Q.2761
ISO 31000,ISO 29100
RFC 3033,RFC 3038
RFC 2410,ITU Y.2111
ITU F.401,ITU X.520
RFC 947,RFC 966
ISO 11172-1,ITU H.222.0
RFC 3118,RFC 4776
ITU J.366.8,ITU J.360
ITU M.816-1,ITU Q.1711
ITU X.148,ITU X.144
ITU X.741,ITU X.701
ISO 13818-7,ITU H.245
ITU G.697,ITU G.872
RFC 3777,RFC 3797
RFC 2200,RFC 2223
RFC 1833,ISO 233
ITU Q.1238.2,ITU Q.1238.1
ISO 8571-2,ITU X.296
ISO 13549,ISO 2006
ISO 22092,ISO 2006
ITU G.989.3,ITU G.988
ITU Q.2951.9,ITU Q.2764
RFC 2570,RFC 3410
ITU Q.2932.1,ITU Q.2955.1
RFC 2685,ITU G.984.4
ITU Q.751.1,ITU M.3200
ITU G.998.2,ITU E.800
ITU M.495,ITU G.808.1
ITU Q.1742.3,ITU Q.1706
ISO 10746-11,ITU G.851.1
ISO 10746-41,ITU G.851.1
ITU X.9011,ITU G.851.1
ITU X.9041,ITU G.851.1
ITU X.813,ITU X.509
RFC 944,RFC 1247
ITU ASN.1,ISO 24824-1
ITU V.54,ITU V.34
ISO 11570,ISO 9577
ITU Q.716,ITU Q.730
RFC 891,RFC 1305
ITU G.175,ITU G.109
ISO 8613-2,ITU T.435
RFC 2764,RFC 4026
RFC 3127,RFC 4657
ITU H.622,ITU Y.1901
ITU Q.541,ITU G.824
ISO 10588,ISO 8208
RFC 2203,RFC 5056
RFC 1541,ITU J.112
RFC 2923,RFC 4213
RFC 3654,RFC 5811
ITU T.85,ITU T.4
RFC 1345,RFC 2045
ITU P.1202,ITU P.800.1
RFC 4122,ISO 11179-6
ITU E.521,ITU E.360.1
RFC 3463,RFC 6409
RFC 3306,RFC 4291
ITU T.412,ITU T.435
ITU Y.1411,ITU Y.2201
ITU Q.1741.3,ITU Y.2201
ITU Q.2957.1,ITU Q.2650
ISO 14495-1,ITU T.800
ITU I.250,ITU Y.2201
ITU Y.1563,ITU Y.1541
ITU J.161,ITU J.170
RFC 1492,RFC 3588
RFC 5440,RFC 5441
ITU G.8012.1,ITU G.8011.1
ITU T.563,ITU T.85
ITU J.244,ITU J.342
RFC 2426,RFC 2779
ITU H.248.36,ITU Q.3303.2
RFC 1866,RFC 2616
ITU V.61,ITU T.123
ISO 8613-1,ITU T.435
ISO 8613-5,ITU T.435
RFC 2916,RFC 3761
ITU Q.115.1,ITU H.225.0
ISO 7816,ITU H.621
RFC 1928,RFC 3040
RFC 3852,ITU Y.2701
ITU Q.816,ITU X.780
ITU X.780,ITU Q.816
ITU J.164,ITU J.170
ISO 8732,ITU H.233
ITU X.125,ITU X.36
RFC 5088,RFC 5089
RFC 5089,RFC 5088
RFC 3859,RFC 3856
RFC 3411,RFC 3410
RFC 3746,RFC 5811
ITU G.719,ITU H.245
ITU Q.772,ITU Q.730
ITU Q.773,ITU Q.730
ITU G.973.2,ITU G.654
RFC 2676,RFC 2702
ITU Y.2031,ITU Y.2012
RFC 1652,RFC 2045
RFC 2437,ITU H.810
RFC 957,RFC 1305
RFC 889,RFC 1305
RFC 956,RFC 1305
RFC 1995,RFC 2136
RFC 3095,RFC 3890
ITU Y.2171,ITU Y.2012
ITU J.125,ITU J.170
ITU J.167,ITU J.170
RFC 4124,ITU Y.2111
ITU P.931,ITU P.911
RFC 4103,ITU H.323
RFC 1904,RFC 3410
RFC 3533,RFC 6716
ITU I.231.1,ITU M.1400
ITU Q.123.1,ITU Z.162
ITU Q.123.2,ITU Z.162
RFC 2004,RFC 3775
RFC 723,RFC 722
ITU P.1311,ITU P.1301
ITU E.408,ITU M.3016.2
RFC 2308,RFC 4033
ITU M.3660,ITU M.3600
ISO 14492,ITU T.44
ITU I.358,ITU I.371
RFC 3272,ITU Y.2111
RFC 1790,RFC 3979
RFC 2339,RFC 3979
ITU Y.3511,ITU Y.3501
ITU P.834,ITU G.107
ITU T.417,ITU T.435
ITU X.1191,ITU H.721
ITU G.853.12,ITU G.852.2
ITU Z.351,ITU M.1401
ITU Z.352,ITU M.1401
RFC 4052,RFC 4053
RFC 4053,RFC 4929
ITU H.761,ITU H.762
ITU J.171.0,ITU J.160
ITU G.681,ITU G.692
RFC 3417,RFC 3410
ITU T.414,ITU T.435
ITU Q.1238.1,ITU Q.1238.2
RFC 4726,RFC 5152
RFC 2516,ITU G.983.2
RFC 3046,ITU J.122
ITU X.135,ITU X.110
RFC 4875,ITU G.8110.1
ITU BT.2293-1,ITU P.916
ITU E.456,ITU T.5
ISO 9798-1,ITU X.509
ITU E.360.2,ITU Y.1291
RFC 3427,RFC 4053
RFC 5245,ITU J.366.4
ISO 15505,ISO 15506
RFC 2201,RFC 2189
ITU H.770,ITU H.721
ITU Z.150,ITU Z.110
ITU M.3208.1,ITU M.1400
ISO 9834-3,ITU X.660
ISO 15292,ISO 15408
ISO 8613-4,ITU T.435
RFC 1970,RFC 1888
RFC 2904,RFC 2906
ITU Q.107,ITU Q.764
RFC 4252,RFC 4251
RFC 3234,RFC 3917
ITU X.30,ITU Q.931
ISO 9314-1,ITU G.707
ISO 9314-2,ITU G.707
ISO 9314-3,ITU G.707
ISO 9314-4,ITU G.707
ISO 9314-5,ITU G.707
ISO 9314-6,ITU G.707
ISO 9314-7,ITU G.707
ISO 9314-8,ITU G.707
ITU S.1149-2,ITU G.707
ITU E.135,ITU F.790
ITU L.68,ITU L.25
RFC 5891,ITU X.660
RFC 2011,ITU M.2301
RFC 1253,RFC 1700
RFC 5481,ITU Y.1540
ITU Q.2963.3,ITU Q.2650
ITU P.862.2,ITU P.800.1
ITU Q.950,ITU H.323
ITU G.9972,ITU G.9961
ITU J.171.1,ITU J.360
ITU H.721,ITU H.762
ITU Q.952,ITU Q.931
ITU Y.1251,ITU Y.2011
RFC 1597,RFC 1887
RFC 2052,RFC 2543
ITU F.702,ITU Q.931
ISO 13655,ITU T.42
RFC 3108,RFC 3264
RFC 3558,ITU J.361
RFC 2998,ITU Y.1291
RFC 1663,RFC 1974
RFC 5810,RFC 5811
ITU Y.140,ITU Y.2012
ITU G.971,ITU G.977
ITU M.3030,ITU Y.2001
ITU H.248.3,ITU H.323
RFC 1350,RFC 1812
RFC 3211,ITU H.810
RFC 1385,RFC 2402
RFC 3956,RFC 4291
ITU T.84,ITU H.245
ITU G.723,ITU H.323
RFC 3219,RFC 3966
RFC 1835,RFC 1913
ITU I.220,ISO 11574
ITU I.241.3,ISO 11574
ITU Z.601,ITU M.3020
ITU Q.2934,ITU Q.2610
RFC 3452,ISO 14496-12
RFC 1231,RFC 1700
ITU F.751,ITU G.708
ITU G.861,ITU G.708
RFC 2575,ITU J.160
RFC 4001,RFC 4294
ITU Z.144,ITU Z.140
ITU G.7718,ITU G.8080
RFC 2060,RFC 2222
RFC 1966,RFC 2547
ITU Q.1912.1,ITU Q.1902.1
ITU D.117,ITU E.169.2
ITU G.978,ITU G.977
RFC 3135,RFC 3234
ITU Q.1901,ITU Q.1902.1
ITU Q.554,ITU G.113
RFC 893,RFC 1812
RFC 5860,ITU G.8110.1
ITU Y.1544,ITU G.1081
RFC 4250,RFC 4251
RFC 4253,RFC 4251
RFC 4254,RFC 4251
ITU K.31,ITU K.57
ITU G.996,ITU G.9962
ISO 10164-9,ITU X.701
RFC 5085,RFC 5586
ITU BS.1195,ITU K.70
ITU G.9700,ITU G.988
RFC 4038,RFC 4291
RFC 4105,RFC 5152
ITU M.1340,ITU M.1400
ITU E.716,ITU E.360.1
RFC 2375,RFC 2373
ITU Q.2111,ITU Q.1902.1
RFC 3324,RFC 3325
RFC 2156,RFC 4523
ISO 19505-2,ISO 11179-3
RFC 3860,RFC 5012
RFC 4119,RFC 5012
RFC 3761,ITU H.323
ISO 3307,ITU X.208
ITU G.8021.1,ITU G.8011.1
ITU I.255.3,ITU Q.2726.2
RFC 1490,ITU H.245
ISO 1087-2,ISO 2382
ITU G.8110,ITU G.8261
ITU E.156,ITU E.164.1
RFC 2473,RFC 3775
RFC 2133,RFC 4038
ITU M.3050.4,ITU M.3060
ISO 8632-1,ITU T.411
RFC 3418,RFC 3410
ITU G.773,ITU I.732
ITU X.138,ITU X.134
ITU X.139,ITU X.134
RFC 3401,RFC 3761
RFC 2030,RFC 3588
ITU Q.52,ITU Q.50.1
RFC 4139,RFC 5654
ITU L.85,ITU L.25
ITU E.736,ITU Y.1541
ITU J.366.3,ITU J.366.5
ISO 7813,ITU E.118
ITU H.248.39,ITU V.152
ITU H.720,ITU H.762
RFC 2633,RFC 3261
ISO 13712-2,ISO 11582
ISO 11560,ISO 2006
ITU T.22,ITU T.5
RFC 1523,RFC 1896
RFC 1563,RFC 1896
RFC 3076,RFC 4051
RFC 4364,RFC 5102
ISO 10181-4,ITU X.509
ISO 13532,ISO 8208
RFC 3042,RFC 3148
RFC 1055,RFC 1191
RFC 2745,RFC 4081
ITU Q.82,ITU M.3010
ITU J.222.1,ITU G.9960
RFC 2467,RFC 3513
RFC 4077,RFC 4896
RFC 3326,ITU Q.850
RFC 1522,RFC 2068
RFC 3327,RFC 3485
ITU P.360,ITU F.790
ITU H.750,ITU H.761
RFC 2195,RFC 2617
ITU Q.1201,ITU Q.1231
RFC 2845,RFC 4033
ITU Q.2630.2,ITU I.366.2
RFC 3548,ISO 1000
ITU P.1201,ITU P.800.1
ITU G.991.1,ITU M.1400
ITU J.211,ITU J.210
ITU T.410,ITU T.411
ITU H.265,ITU H.222.0
RFC 987,RFC 1113
ISO 15444-1,ITU H.222.0
ITU T.800,ITU H.222.0
ITU M.3016.3,ITU Y.2701
ITU M.3016.4,ITU Y.2701
ITU T.31,ITU Q.1741.2
RFC 3947,RFC 4093
RFC 1334,ITU Y.1231
ITU I.460,ITU H.248.1
ITU G.169,ITU G.101
RFC 3961,RFC 4120
RFC 3962,RFC 4120
ISO 19763,ISO 11179-6
ITU G.1031,ITU G.1030
ITU M.4030,ITU M.20
RFC 1908,RFC 1905
ITU J.366.7,ITU J.366.4
RFC 1171,RFC 1220
RFC 2809,RFC 2868
RFC 3461,RFC 3482
ITU X.901,ITU X.903
ITU G.808.2,ITU G.808
RFC 3466,ITU F.750
RFC 1819,RFC 2216
RFC 3330,RFC 3704
ISO 10164,ITU X.722
ITU Q.2722.1,ITU Q.2761
ITU G.690,ITU G.663
ITU G.126,ITU G.168
ITU G.874.1,ITU G.872
ITU X.1111,ITU H.622
RFC 4461,ITU G.8110.1
RFC 1284,RFC 1700
ITU G.650-2,ITU G.650.2
RFC 1092,RFC 1105
RFC 1093,RFC 1105
RFC 6370,ITU G.8110.1
ISO 7809,ITU V.42
RFC 4093,ITU Y.3011
RFC 3455,ITU J.366.4
RFC 1059,RFC 1305
RFC 2824,RFC 3841
ISO 9945,ITU X.520
ISO 21000-7,ISO 1000
ITU E.770,ITU F.115
RFC 1602,RFC 2048
RFC 879,RFC 1042
RFC 3552,RFC 5226
RFC 2477,RFC 3588
ITU J.94,ITU J.183
ITU T.431,ITU T.435
ITU T.432,ITU T.435
ITU T.433,ITU T.435
ISO 15938-5,ISO 15938
RFC 6020,RFC 6021
ITU P.84,ITU P.830
RFC 2885,ITU Y.140
RFC 830,RFC 882
RFC 1225,RFC 1340
RFC 922,ITU Y.1541
ITU Y.1543,ITU G.1081
RFC 3951,ITU H.245
ITU Q.3303.2,ITU H.248.43
ITU V.150.1,ITU H.323
ITU T.521,ITU T.4
ISO 16448,ISO 17344
ISO 16449,ISO 17344
ISO 17341,ISO 17344
ISO 17342,ISO 17344
ISO 17344,ISO 26925
ISO 17592,ISO 17344
ISO 23912,ISO 17344
ISO 26925,ISO 17344
ISO 29642,ISO 17344
RFC 2025,ITU X.511
ITU T.416,ITU T.435
ISO 15444,ISO 7501
ITU T.32,ITU Q.1741.2
ISO 13714,ITU F.902
ITU E.183,ITU F.902
ITU BT.500-9,ITU P.910
ITU J.148,ITU E.800
RFC 4023,RFC 5143
ISO 13712-3,ISO 11582
ITU G.107.1,ITU G.107
ISO 8571-4,ITU X.296
RFC 1982,RFC 2136
ITU G.1081,ITU Y.1901
ITU BT.500-13,ITU P.913
ISO 11404,ISO 11179-3
RFC 1316,RFC 1340
RFC 1565,RFC 1700
RFC 2794,RFC 2977
RFC 1725,RFC 1939
RFC 3148,ITU Y.1540
RFC 3429,ITU Y.1711
ITU O.153,ITU O.150
RFC 3984,ITU H.245
ITU M.1457-3,ITU Q.1742.4
RFC 5150,RFC 5152
ITU X.1141,ITU Y.2702
RFC 3403,RFC 3761
RFC 2341,RFC 2868
ISO 14443,ISO 18092
RFC 3232,RFC 3588
ISO 4031,ITU X.208
ITU M.3050.3,ITU M.3060
RFC 4330,ITU G.8261
ITU H.235.2,ITU H.235.0
RFC 1913,RFC 3650
ITU Q.2951.1,ITU Q.2961.3
ITU Q.2150.2,ITU Q.2630.1
ITU Q.1211,ITU Q.1213
ITU V.250,ITU H.324
ITU E.860,ITU E.800
ITU I.761,ITU I.732
ITU I.365.3,ITU M.1400
ITU BT.815-1,ITU P.910
ISO 8613-6,ITU T.435
ITU G.768,ITU G.161
ITU Q.2724.1,ITU Q.2761
ITU G.700,ITU M.3604
RFC 805,RFC 819
ITU E.452,ITU T.5
RFC 1263,RFC 4614
RFC 5626,ITU J.366.4
ITU H.248.11,ITU Q.3303.2
RFC 4134,ITU Y.2701
RFC 2169,RFC 2168
ITU G.7701,ITU G.7714.1
RFC 4753,RFC 4754
ISO 14651,ISO 10176
RFC 5480,ITU X.509
ITU Y.1231,ITU Y.1541
RFC 3162,RFC 3588
ITU Q.2955.1,ITU Q.2961.3
RFC 4872,ITU G.8081
ITU Y.1314,ITU Y.1401
ITU M.1457-5,ITU Q.1742.5
RFC 2190,ITU H.225.0
ITU J.283,ITU J.292
RFC 2671,RFC 4033
RFC 2694,RFC 2766
RFC 3946,RFC 4139
ITU H.248.58,ITU Q.3303.2
ITU M.1000,ITU M.20
ITU G.9978,ITU G.9961
ITU G.989,ITU G.989.2
RFC 779,RFC 1700
RFC 878,RFC 1700
ITU G.774.1,ITU G.784
RFC 1202,RFC 1777
RFC 1249,RFC 1777
ITU H.812.1,ITU H.810
RFC 1938,RFC 2284
ITU H.235.6,ITU H.323
ISO 11586-1,ITU X.501
ITU G.983.6,ITU L.53
ITU G.983.7,ITU L.53
RFC 1793,RFC 3623
ISO 14977,ISO 1000
ITU Q.735.3,ITU Q.850
ISO 9798-3,ITU X.509
ITU E.1691,ITU E.169
ITU Y.2234,ITU Y.2012
ITU G.8051,ITU G.7712
RFC 1050,RFC 1057
ITU J.1,ITU J.143
RFC 3540,RFC 4342
ITU M.3016.1,ITU Y.2701
ITU J.343.1,ITU J.343
ITU J.343.2,ITU J.343
RFC 2529,RFC 3484
RFC 2202,ITU J.125
RFC 6371,ITU G.8121
RFC 3015,RFC 3261
ITU M.1404,ITU M.3020
ITU E.457,ITU E.451
ITU Q.85.1,ITU Q.2955.1
ITU X.612,ISO 8208
ITU P.1201.1,ITU P.1202
ITU Q.955.1,ITU Q.950
ITU V.91,ITU H.248.1
RFC 6205,ITU G.709
ITU X.211,ITU Q.922
RFC 4648,RFC 6020
ITU J.171.2,ITU J.171.0
RFC 1481,RFC 4632
RFC 1817,RFC 4632
ITU J.210,ITU J.222.1
ITU T.503,ITU Q.931
ISO 639-1,ITU H.243
ITU BS.1534-1,ITU G.191
RFC 4737,ITU Y.1540
ITU J.365,ITU J.366.4
ITU D.180,ITU M.1510
