source,target
ITU O.150,ITU G.709
ITU G.712,ITU G.191
ISO 8822,ITU X.208
ITU G.774,ITU G.851.1
ITU X.692,ISO 8824-1
RFC 1215,RFC 2579
ITU Z.103,ITU Z.100
ITU Z.107,ITU Z.100
ITU Z.102,ITU Z.100
ITU A.11,ITU A.1
ITU A.2,ITU A.1
RFC 2617,RFC 3261
ITU Z.105,ITU Z.100
ITU BT.500-11,ITU J.149
ITU G.165,ITU V.25
RFC 2326,RFC 3261
ITU E.161,ITU E.164
RFC 2462,RFC 3775
ITU Z.106,ITU Z.100
ISO 8825-6,ISO 8824-1
ITU X.695,ISO 8824-1
ITU G.781,ITU G.783
ITU O.9,ITU G.117
ITU E.169.3,ITU E.164
RFC 760,RFC 768
RFC 1065,RFC 1155
ITU I.210,ISO 11582
ITU T.101,ISO 8824-1
RFC 826,RFC 1700
ITU G.995.1,ITU G.997.1
ISO 8802-3,ISO 10589
ITU G.996.1,ITU M.1400
ITU G.992.1,ITU M.1400
ITU P.58,ITU P.64
RFC 2580,RFC 3410
ITU Q.2650,ITU I.371
ITU G.8021,ITU G.806
ITU Q.2961.2,ITU H.248.1
ITU T.70,ITU Q.2931
ITU G.696.1,ITU G.652
ITU X.76,ITU X.121
RFC 2543,RFC 3261
ITU Q.762,ITU Q.2761
ITU K.61,ITU K.52
ITU E.169,ITU E.164
ISO 7000,ISO 10646
ITU V.42,ITU H.245
ITU G.168,ITU G.114
ISO 9646-7,ISO 8208
ITU Y.1311,ITU G.8080
ITU G.804,ITU I.610
RFC 3629,RFC 4279
ITU E.169.2,ITU E.164
RFC 2663,ITU H.248.43
ITU I.363.5,ITU H.248.1
ITU Q.850,ITU Q.931
ITU G.9960,ITU G.9961
ITU P.830,ITU G.191
ISO 8802,ITU Q.2931
ITU Q.761,ITU Q.2761
ITU Q.920,ITU Q.931
ITU G.698.2,ITU G.652
ITU I.350,ITU I.356
ITU Q.932,ITU Q.931
ITU H.248.8,ITU H.248.1
ITU X.733,ITU X.722
ISO 8886,ISO 8208
ITU H.324,ITU H.248.1
ISO 4335,ITU Q.2931
ISO 9594-1,ITU X.509
ITU H.262,ITU H.245
ITU E.107,ITU H.248.1
ITU G.723.1,ITU H.248.1
ISO 13818-2,ITU H.245
RFC 1918,RFC 2663
ISO 10164-2,ITU X.701
ITU Y.2201,ITU Y.2012
ITU G.1010,ITU Y.1541
ITU G.752,ITU G.783
RFC 1633,ITU J.112
ITU Q.730,ITU Q.2761
ITU K.40,ITU K.11
RFC 2131,ITU Y.2012
ITU G.108,ITU G.114
ITU E.214,ITU E.164
RFC 1442,RFC 1448
RFC 3265,RFC 3428
RFC 1510,RFC 1831
ITU G.9961,ITU G.9960
ITU V.23,ITU H.248.1
ITU X.734,ITU X.701
ITU O.172,ITU G.783
ISO 10746-3,ITU G.851.1
ITU P.810,ITU G.191
ISO 10367,ISO 8824-1
RFC 1448,RFC 1450
RFC 3280,RFC 3279
ITU G.122,ITU G.131
RFC 2068,ITU H.225.0
ITU T.55,ITU X.660
ITU P.911,ITU Y.1541
ITU G.985,ITU G.652
ITU I.340,ITU G.805
RFC 1060,RFC 1247
ITU Q.552,ITU G.113
ITU H.263,ITU H.248.1
ISO 13873,ISO 13869
ITU E.101,ITU E.164
ISO 8571,ISO 8824-1
ITU G.993.2,ITU G.997.1
RFC 4234,ISO 9834
RFC 2328,ITU G.7712
RFC 2865,RFC 3588
ITU V.8,ITU H.245
ITU P.48,ITU P.800
ITU T.81,ITU T.4
ITU P.920,ITU P.910
ITU G.656,ITU G.650.2
ITU Q.2971,ITU Q.2962
ITU Y.2011,ITU Y.2012
ISO 10164-4,ITU X.722
ITU K.100,ITU K.52
RFC 1884,RFC 2373
ITU E.800,ITU P.10
ITU E.164.2,ITU E.164
ITU P.51,ITU P.64
ITU G.694.2,ITU G.671
ITU Q.1902.1,ITU Q.1902.3
RFC 1905,RFC 2580
RFC 3588,ITU Y.2014
ITU T.122,ITU H.225.0
ITU Y.2001,ITU Y.2012
RFC 3551,ITU H.248.1
RFC 3711,ITU H.245
RFC 2279,RFC 3261
RFC 3036,RFC 3471
RFC 2748,ITU Y.2011
ITU X.296,ISO 8208
ITU Z.121,ITU Z.120
ITU I.363,ITU H.245
ITU X.650,ITU X.660
ITU G.831,ITU G.707
ITU H.221,ITU H.248.1
ITU X.711,ITU X.722
RFC 2679,ITU Y.1541
ITU G.977,ITU G.653
ITU X.219,ITU Q.763
RFC 1042,RFC 1700
ITU G.993.1,ITU G.994.1
ITU X.521,ITU X.509
RFC 1584,RFC 1700
RFC 3513,RFC 3775
RFC 1902,RFC 1905
RFC 780,RFC 790
RFC 1319,RFC 1750
